id	kegg_pathway
gene_35	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_36	NA
gene_37	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_38	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
gene_39	ko03320(PPAR signaling pathway)
gene_40	ko03320(PPAR signaling pathway)
gene_41	ko03320(PPAR signaling pathway)
gene_42	ko00190(Oxidative phosphorylation)
gene_43	NA
gene_44	NA
gene_45	ko03320(PPAR signaling pathway)
gene_46	NA
gene_47	ko04141(Protein processing in endoplasmic reticulum)
gene_48	NA
gene_49	ko03320(PPAR signaling pathway)
gene_50	ko03320(PPAR signaling pathway)
gene_51	NA
gene_52	NA
gene_53	ko04610(Complement and coagulation cascades)
gene_54	NA
gene_55	ko03320(PPAR signaling pathway)
gene_56	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
gene_57	NA
gene_58	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
gene_59	NA
gene_60	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
gene_61	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_62	NA
gene_63	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
gene_64	NA
gene_65	NA
gene_66	ko04016(MAPK signaling pathway - plant);ko00230(Purine metabolism);ko00240(Pyrimidine metabolism)
gene_67	ko00190(Oxidative phosphorylation)
gene_68	NA
gene_69	ko04610(Complement and coagulation cascades)
gene_70	NA
gene_71	ko04610(Complement and coagulation cascades)
gene_72	ko03010(Ribosome)
gene_73	NA
gene_74	ko04610(Complement and coagulation cascades)
gene_75	NA
gene_76	ko04610(Complement and coagulation cascades)
gene_77	NA
gene_78	ko03010(Ribosome)
gene_79	ko03010(Ribosome)
gene_80	ko04610(Complement and coagulation cascades)
gene_81	NA
gene_82	ko04610(Complement and coagulation cascades)
gene_83	NA
gene_84	ko04610(Complement and coagulation cascades)
gene_85	NA
gene_86	NA
gene_87	ko04610(Complement and coagulation cascades)
gene_88	ko00564(Glycerophospholipid metabolism);ko00440(Phosphonate and phosphinate metabolism)
gene_89	ko04066(HIF-1 signaling pathway);ko03018(RNA degradation);ko00010(Glycolysis / Gluconeogenesis);ko00680(Methane metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_90	NA
gene_91	NA
gene_92	ko04610(Complement and coagulation cascades)
gene_93	ko00330(Arginine and proline metabolism);ko00340(Histidine metabolism);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00053(Ascorbate and aldarate metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00620(Pyruvate metabolism);ko00071(Fatty acid degradation);ko00561(Glycerolipid metabolism);ko00410(beta-Alanine metabolism);ko00981(Insect hormone biosynthesis);ko00903(Limonene and pinene degradation);ko00625(Chloroalkane and chloroalkene degradation)
gene_94	NA
gene_95	ko04141(Protein processing in endoplasmic reticulum)
gene_96	NA
gene_97	NA
gene_98	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_99	NA
gene_100	ko03010(Ribosome)
gene_101	NA
gene_102	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_103	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_104	NA
gene_105	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_106	NA
gene_107	ko04216(Ferroptosis);ko04217(Necroptosis);ko04978(Mineral absorption)
gene_108	ko04114(Oocyte meiosis);ko04371(Apelin signaling pathway);ko04020(Calcium signaling pathway);ko04016(MAPK signaling pathway - plant);ko04070(Phosphatidylinositol signaling system);ko04015(Rap1 signaling pathway);ko04014(Ras signaling pathway);ko04024(cAMP signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04261(Adrenergic signaling in cardiomyocytes);ko04270(Vascular smooth muscle contraction);ko04971(Gastric acid secretion);ko04970(Salivary secretion);ko04925(Aldosterone synthesis and secretion);ko04915(Estrogen signaling pathway);ko04922(Glucagon signaling pathway);ko04912(GnRH signaling pathway);ko04910(Insulin signaling pathway);ko04916(Melanogenesis);ko04921(Oxytocin signaling pathway);ko04924(Renin secretion);ko04713(Circadian entrainment);ko04626(Plant-pathogen interaction);ko04728(Dopaminergic synapse);ko04720(Long-term potentiation);ko04722(Neurotrophin signaling pathway);ko04750(Inflammatory mediator regulation of TRP channels);ko04740(Olfactory transduction);ko04744(Phototransduction);ko04745(Phototransduction - fly)
gene_109	NA
gene_110	NA
gene_111	NA
gene_112	ko00240(Pyrimidine metabolism);ko00983(Drug metabolism - other enzymes)
gene_113	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_114	NA
gene_115	NA
gene_116	ko03010(Ribosome)
gene_117	NA
gene_118	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_119	NA
gene_120	ko00051(Fructose and mannose metabolism);ko00010(Glycolysis / Gluconeogenesis);ko00030(Pentose phosphate pathway);ko00710(Carbon fixation in photosynthetic organisms);ko00680(Methane metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_121	NA
gene_122	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_123	ko03010(Ribosome)
gene_124	NA
gene_125	NA
gene_126	NA
gene_127	NA
gene_128	NA
gene_129	ko04976(Bile secretion)
gene_130	NA
gene_131	NA
gene_132	ko04141(Protein processing in endoplasmic reticulum);ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
gene_133	NA
gene_134	NA
gene_135	ko04217(Necroptosis);ko04151(PI3K-Akt signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04915(Estrogen signaling pathway);ko04914(Progesterone-mediated oocyte maturation);ko04626(Plant-pathogen interaction);ko04612(Antigen processing and presentation);ko04657(IL-17 signaling pathway);ko04621(NOD-like receptor signaling pathway);ko04659(Th17 cell differentiation)
gene_136	NA
gene_137	NA
gene_138	ko04610(Complement and coagulation cascades)
gene_139	ko04610(Complement and coagulation cascades)
gene_140	NA
gene_141	ko04977(Vitamin digestion and absorption)
gene_142	NA
gene_143	NA
gene_144	ko04610(Complement and coagulation cascades)
gene_145	NA
gene_146	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
gene_147	NA
gene_148	NA
gene_149	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_150	NA
gene_151	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_152	NA
gene_153	NA
gene_154	ko00230(Purine metabolism)
gene_155	NA
gene_156	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_157	NA
gene_158	NA
gene_159	NA
gene_160	ko04064(NF-kappa B signaling pathway);ko04060(Cytokine-cytokine receptor interaction);ko04062(Chemokine signaling pathway);ko04623(Cytosolic DNA-sensing pathway);ko04620(Toll-like receptor signaling pathway)
gene_161	ko03018(RNA degradation);ko03040(Spliceosome)
gene_162	NA
gene_163	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_164	NA
gene_165	ko00480(Glutathione metabolism)
gene_166	ko04610(Complement and coagulation cascades)
gene_167	NA
gene_168	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_169	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_170	ko04970(Salivary secretion)
gene_171	NA
gene_172	NA
gene_173	ko00190(Oxidative phosphorylation)
gene_174	NA
gene_175	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_176	ko04610(Complement and coagulation cascades)
gene_177	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_178	NA
gene_179	ko04610(Complement and coagulation cascades)
gene_180	NA
gene_181	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_182	ko04810(Regulation of actin cytoskeleton);ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_183	ko04216(Ferroptosis);ko00860(Porphyrin and chlorophyll metabolism)
gene_184	NA
gene_185	NA
gene_186	ko04111(Cell cycle - yeast);ko04113(Meiosis - yeast);ko04114(Oocyte meiosis);ko04530(Tight junction);ko04152(AMPK signaling pathway);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04151(PI3K-Akt signaling pathway);ko04071(Sphingolipid signaling pathway);ko04350(TGF-beta signaling pathway);ko03015(mRNA surveillance pathway);ko04261(Adrenergic signaling in cardiomyocytes);ko04728(Dopaminergic synapse);ko04730(Long-term depression)
gene_187	NA
gene_188	NA
gene_189	ko00561(Glycerolipid metabolism);ko00100(Steroid biosynthesis);ko04975(Fat digestion and absorption);ko04972(Pancreatic secretion)
gene_190	ko04610(Complement and coagulation cascades)
gene_191	NA
gene_192	ko03010(Ribosome)
gene_193	ko04610(Complement and coagulation cascades)
gene_194	NA
gene_195	ko04610(Complement and coagulation cascades)
gene_196	ko04610(Complement and coagulation cascades)
gene_197	NA
gene_198	ko04610(Complement and coagulation cascades)
gene_199	NA
gene_200	ko04610(Complement and coagulation cascades)
gene_201	NA
gene_202	ko04610(Complement and coagulation cascades)
gene_203	NA
gene_204	NA
gene_205	ko04610(Complement and coagulation cascades)
gene_206	ko04140(Autophagy - animal)
gene_207	ko03010(Ribosome)
gene_208	ko04610(Complement and coagulation cascades)
gene_209	NA
gene_210	NA
gene_211	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_212	ko04210(Apoptosis);ko04140(Autophagy - animal);ko04142(Lysosome);ko04145(Phagosome);ko04612(Antigen processing and presentation)
gene_213	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_214	NA
gene_215	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_216	ko04610(Complement and coagulation cascades);ko04611(Platelet activation)
gene_217	ko04514(Cell adhesion molecules (CAMs))
gene_218	ko00561(Glycerolipid metabolism);ko04975(Fat digestion and absorption)
gene_219	ko04141(Protein processing in endoplasmic reticulum)
gene_220	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_221	NA
gene_222	NA
gene_223	ko04976(Bile secretion)
gene_224	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_225	NA
gene_226	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_227	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_228	ko04610(Complement and coagulation cascades)
gene_229	NA
gene_230	NA
gene_231	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_232	NA
gene_233	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_234	NA
gene_235	ko03013(RNA transport)
gene_236	ko04141(Protein processing in endoplasmic reticulum);ko04918(Thyroid hormone synthesis)
gene_237	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_238	NA
gene_239	ko04270(Vascular smooth muscle contraction);ko04924(Renin secretion);ko04614(Renin-angiotensin system)
gene_240	ko00250(Alanine, aspartate and glutamate metabolism);ko00330(Arginine and proline metabolism);ko00220(Arginine biosynthesis);ko00270(Cysteine and methionine metabolism);ko00360(Phenylalanine metabolism);ko00400(Phenylalanine, tyrosine and tryptophan biosynthesis);ko00350(Tyrosine metabolism);ko00950(Isoquinoline alkaloid biosynthesis);ko00960(Tropane, piperidine and pyridine alkaloid biosynthesis);ko00710(Carbon fixation in photosynthetic organisms);ko01210(2-Oxocarboxylic acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism);ko04975(Fat digestion and absorption)
gene_241	NA
gene_242	NA
gene_243	NA
gene_244	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_245	NA
gene_246	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_247	NA
gene_248	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_249	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_250	NA
gene_251	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_252	NA
gene_253	ko00350(Tyrosine metabolism);ko00643(Styrene degradation)
gene_254	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_255	NA
gene_256	ko03010(Ribosome)
gene_257	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_258	NA
gene_259	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_260	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_261	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_262	NA
gene_263	ko04975(Fat digestion and absorption);ko04977(Vitamin digestion and absorption)
gene_264	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_265	NA
gene_266	ko00270(Cysteine and methionine metabolism);ko00020(Citrate cycle (TCA cycle));ko00630(Glyoxylate and dicarboxylate metabolism);ko00620(Pyruvate metabolism);ko00710(Carbon fixation in photosynthetic organisms);ko01200(Carbon metabolism);ko04964(Proximal tubule bicarbonate reclamation)
gene_267	NA
gene_268	ko03010(Ribosome)
gene_269	NA
gene_270	ko00350(Tyrosine metabolism)
gene_271	NA
gene_272	ko00100(Steroid biosynthesis)
gene_273	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_274	ko03013(RNA transport)
gene_275	ko03010(Ribosome)
gene_276	ko03010(Ribosome)
gene_277	NA
gene_278	ko03010(Ribosome)
gene_279	NA
gene_280	ko04146(Peroxisome);ko00590(Arachidonic acid metabolism);ko00625(Chloroalkane and chloroalkene degradation)
gene_281	NA
gene_282	ko04146(Peroxisome);ko00590(Arachidonic acid metabolism);ko00625(Chloroalkane and chloroalkene degradation)
gene_283	ko04146(Peroxisome);ko00590(Arachidonic acid metabolism);ko00625(Chloroalkane and chloroalkene degradation)
gene_284	NA
gene_285	ko03010(Ribosome)
gene_286	ko03010(Ribosome)
gene_287	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_288	NA
gene_289	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_290	NA
gene_291	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_292	ko04080(Neuroactive ligand-receptor interaction);ko04610(Complement and coagulation cascades)
gene_293	ko04146(Peroxisome);ko00250(Alanine, aspartate and glutamate metabolism);ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko01200(Carbon metabolism)
gene_294	NA
gene_295	NA
gene_296	ko03010(Ribosome)
gene_297	NA
gene_298	ko04144(Endocytosis);ko04010(MAPK signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko03040(Spliceosome);ko04213(Longevity regulating pathway - multiple species);ko04915(Estrogen signaling pathway);ko04612(Antigen processing and presentation)
gene_299	NA
gene_300	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_301	ko03060(Protein export)
gene_302	ko04610(Complement and coagulation cascades)
gene_303	ko03010(Ribosome)
gene_304	ko04110(Cell cycle);ko04114(Oocyte meiosis);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04013(MAPK signaling pathway - fly);ko04151(PI3K-Akt signaling pathway);ko04212(Longevity regulating pathway - worm)
gene_305	NA
gene_306	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_307	ko04610(Complement and coagulation cascades)
gene_308	NA
gene_309	NA
gene_310	ko04610(Complement and coagulation cascades)
gene_311	NA
gene_312	NA
gene_313	ko04610(Complement and coagulation cascades)
gene_314	ko04610(Complement and coagulation cascades)
gene_315	NA
gene_316	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_317	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_318	NA
gene_319	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_320	NA
gene_321	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_322	NA
gene_323	ko03010(Ribosome)
gene_324	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_325	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_326	NA
gene_327	ko00190(Oxidative phosphorylation)
gene_328	ko00565(Ether lipid metabolism);ko00564(Glycerophospholipid metabolism);ko00440(Phosphonate and phosphinate metabolism)
gene_329	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_330	NA
gene_331	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
gene_332	NA
gene_333	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_334	NA
gene_335	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_336	ko04080(Neuroactive ligand-receptor interaction);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_337	NA
gene_338	ko04217(Necroptosis);ko04020(Calcium signaling pathway);ko04022(cGMP - PKG signaling pathway)
gene_339	NA
gene_340	ko04150(mTOR signaling pathway)
gene_341	NA
gene_342	NA
gene_343	NA
gene_344	NA
gene_345	ko03010(Ribosome)
gene_346	NA
gene_347	NA
gene_348	ko04520(Adherens junction);ko04390(Hippo signaling pathway);ko04310(Wnt signaling pathway);ko04916(Melanogenesis)
gene_349	NA
gene_350	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_351	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_352	NA
gene_353	ko04610(Complement and coagulation cascades);ko04611(Platelet activation)
gene_354	ko03010(Ribosome)
gene_355	NA
gene_356	ko03040(Spliceosome)
gene_357	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_358	ko03010(Ribosome)
gene_359	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_360	NA
gene_361	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_362	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_363	NA
gene_364	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
gene_365	NA
gene_366	ko04610(Complement and coagulation cascades)
gene_367	ko04610(Complement and coagulation cascades)
gene_368	NA
gene_369	NA
gene_370	ko04217(Necroptosis);ko04151(PI3K-Akt signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04915(Estrogen signaling pathway);ko04914(Progesterone-mediated oocyte maturation);ko04626(Plant-pathogen interaction);ko04612(Antigen processing and presentation);ko04657(IL-17 signaling pathway);ko04621(NOD-like receptor signaling pathway);ko04659(Th17 cell differentiation)
gene_371	NA
gene_372	NA
gene_373	NA
gene_374	ko04610(Complement and coagulation cascades)
gene_375	NA
gene_376	NA
gene_377	NA
gene_378	ko03010(Ribosome)
gene_379	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_380	NA
gene_381	ko03018(RNA degradation);ko04212(Longevity regulating pathway - worm)
gene_382	NA
gene_383	ko03010(Ribosome)
gene_384	NA
gene_385	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_386	NA
gene_387	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_388	ko00190(Oxidative phosphorylation)
gene_389	ko03010(Ribosome)
gene_390	NA
gene_391	ko00190(Oxidative phosphorylation)
gene_392	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_393	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_394	NA
gene_395	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_396	ko04144(Endocytosis);ko04010(MAPK signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko03040(Spliceosome);ko04213(Longevity regulating pathway - multiple species);ko04915(Estrogen signaling pathway);ko04612(Antigen processing and presentation)
gene_397	NA
gene_398	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_399	NA
gene_400	ko04371(Apelin signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04014(Ras signaling pathway);ko04713(Circadian entrainment);ko04062(Chemokine signaling pathway);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse);ko04723(Retrograde endocannabinoid signaling);ko04726(Serotonergic synapse)
gene_401	ko03010(Ribosome)
gene_402	ko03010(Ribosome)
gene_403	ko04141(Protein processing in endoplasmic reticulum)
gene_404	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_405	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_406	NA
gene_407	ko04145(Phagosome);ko04610(Complement and coagulation cascades)
gene_408	ko04210(Apoptosis);ko04810(Regulation of actin cytoskeleton);ko04520(Adherens junction);ko04510(Focal adhesion);ko04530(Tight junction);ko04145(Phagosome);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04015(Rap1 signaling pathway);ko04921(Oxytocin signaling pathway);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration);ko04611(Platelet activation);ko04745(Phototransduction - fly)
gene_409	ko03010(Ribosome)
gene_410	ko00561(Glycerolipid metabolism);ko04975(Fat digestion and absorption);ko04972(Pancreatic secretion)
gene_411	NA
gene_412	NA
gene_413	ko04141(Protein processing in endoplasmic reticulum)
gene_414	ko00120(Primary bile acid biosynthesis)
gene_415	NA
