Chr	Start	End	Value
1	148000001	149000000	43
1	149000001	150000000	42
1	150000001	151000000	48
1	151000001	152000000	63
1	152000001	153000000	49
1	153000001	154000000	74
1	154000001	155000000	44
1	155000001	156000000	62
1	156000001	157000000	57
1	157000001	158000000	24
1	158000001	159000000	40
1	159000001	160000000	43
1	160000001	161000000	42
1	161000001	162000000	57
1	162000001	163000000	24
1	163000001	164000000	12
1	164000001	165000000	12
1	165000001	166000000	23
1	166000001	167000000	21
1	167000001	168000000	24
1	168000001	169000000	24
1	169000001	170000000	23
1	170000001	171000000	16
1	171000001	172000000	31
1	172000001	173000000	15
1	173000001	174000000	26
1	174000001	175000000	15
1	175000001	176000000	15
1	176000001	177000000	11
1	177000001	178000000	7
1	178000001	179000000	20
1	179000001	180000000	33
1	180000001	181000000	18
1	181000001	182000000	11
1	182000001	183000000	31
1	183000001	184000000	13
1	184000001	185000000	14
1	185000001	186000000	24
1	186000001	187000000	15
1	187000001	188000000	6
1	188000001	189000000	10
1	189000001	190000000	7
1	190000001	191000000	7
1	191000001	192000000	6
1	192000001	193000000	16
1	193000001	194000000	12
1	194000001	195000000	6
1	195000001	196000000	0
1	196000001	197000000	10
1	197000001	198000000	17
1	198000001	199000000	12
1	199000001	200000000	9
1	200000001	201000000	21
1	201000001	202000000	34
1	202000001	203000000	39
1	203000001	204000000	32
1	204000001	205000000	27
1	205000001	206000000	34
1	206000001	207000000	34
1	207000001	208000000	29
1	208000001	209000000	7
1	209000001	210000000	21
1	210000001	211000000	10
1	211000001	212000000	27
1	212000001	213000000	35
1	213000001	214000000	8
1	214000001	215000000	13
1	215000001	216000000	6
1	216000001	217000000	4
1	217000001	218000000	6
1	218000001	219000000	13
1	219000001	220000000	11
1	220000001	221000000	33
1	221000001	222000000	9
1	222000001	223000000	20
1	223000001	224000000	18
1	224000001	225000000	22
1	225000001	226000000	21
1	226000001	227000000	25
1	227000001	228000000	25
1	228000001	229000000	59
1	229000001	230000000	26
1	230000001	231000000	18
1	231000001	232000000	21
1	232000001	233000000	13
1	233000001	234000000	8
1	234000001	235000000	31
1	235000001	236000000	34
1	236000001	237000000	18
1	237000001	238000000	15
1	238000001	239000000	8
1	239000001	240000000	7
1	240000001	241000000	22
1	241000001	242000000	15
1	242000001	243000000	14
1	243000001	244000000	17
1	244000001	245000000	22
1	245000001	246000000	10
1	246000001	247000000	25
1	247000001	248000000	57
1	248000001	248956422	51
2	1	1000000	27
2	1000001	2000000	12
2	2000001	3000000	6
2	3000001	4000000	23
2	4000001	5000000	5
2	5000001	6000000	9
2	6000001	7000000	13
2	7000001	8000000	12
2	8000001	9000000	10
2	9000001	10000000	24
2	10000001	11000000	36
2	11000001	12000000	29
2	12000001	13000000	8
2	13000001	14000000	4
2	14000001	15000000	6
2	15000001	16000000	14
2	16000001	17000000	17
2	17000001	18000000	8
2	18000001	19000000	8
2	19000001	20000000	11
2	20000001	21000000	27
2	21000001	22000000	12
2	22000001	23000000	7
2	23000001	24000000	14
2	24000001	25000000	28
2	25000001	26000000	20
2	26000001	27000000	24
2	27000001	28000000	54
2	28000001	29000000	25
2	29000001	30000000	8
2	30000001	31000000	14
2	31000001	32000000	13
2	32000001	33000000	24
2	33000001	34000000	13
2	34000001	35000000	6
2	35000001	36000000	7
2	36000001	37000000	10
2	37000001	38000000	21
2	38000001	39000000	33
2	39000001	40000000	12
2	40000001	41000000	4
2	41000001	42000000	8
2	42000001	43000000	18
2	43000001	44000000	22
2	44000001	45000000	23
2	45000001	46000000	7
2	46000001	47000000	26
2	47000001	48000000	27
2	48000001	49000000	15
2	49000001	50000000	8
2	50000001	51000000	5
2	51000001	52000000	5
2	52000001	53000000	12
2	53000001	54000000	10
2	54000001	55000000	17
2	55000001	56000000	24
2	56000001	57000000	9
2	57000001	58000000	5
2	58000001	59000000	6
2	59000001	60000000	8
2	60000001	61000000	22
2	61000001	62000000	28
2	62000001	63000000	19
2	63000001	64000000	18
2	64000001	65000000	30
2	65000001	66000000	19
2	66000001	67000000	14
2	67000001	68000000	8
2	68000001	69000000	25
2	69000001	70000000	21
2	70000001	71000000	35
2	71000001	72000000	16
2	72000001	73000000	8
2	73000001	74000000	31
2	74000001	75000000	51
2	75000001	76000000	17
2	76000001	77000000	6
2	77000001	78000000	6
2	78000001	79000000	6
2	79000001	80000000	12
2	80000001	81000000	6
2	81000001	82000000	6
2	82000001	83000000	11
2	83000001	84000000	4
2	84000001	85000000	13
2	85000001	86000000	44
2	86000001	87000000	24
2	87000001	88000000	27
2	88000001	89000000	36
2	89000001	90000000	55
2	90000001	91000000	24
2	91000001	92000000	18
2	92000001	93000000	2
2	93000001	94000000	0
2	94000001	95000000	23
2	95000001	96000000	46
2	96000001	97000000	31
2	97000001	98000000	37
2	98000001	99000000	14
2	99000001	100000000	14
2	100000001	101000000	19
2	101000001	102000000	17
2	102000001	103000000	18
2	103000001	104000000	9
2	104000001	105000000	21
2	105000001	106000000	15
2	106000001	107000000	23
2	107000001	108000000	11
2	108000001	109000000	23
2	109000001	110000000	23
2	110000001	111000000	31
2	111000001	112000000	29
2	112000001	113000000	30
2	113000001	114000000	38
2	114000001	115000000	7
2	115000001	116000000	3
2	116000001	117000000	4
2	117000001	118000000	11
2	118000001	119000000	10
2	119000001	120000000	14
2	120000001	121000000	20
2	121000001	122000000	17
2	122000001	123000000	0
2	123000001	124000000	7
2	124000001	125000000	6
2	125000001	126000000	2
2	126000001	127000000	8
2	127000001	128000000	32
2	128000001	129000000	14
2	129000001	130000000	12
2	130000001	131000000	63
2	131000001	132000000	59
2	132000001	133000000	21
2	133000001	134000000	8
2	134000001	135000000	11
2	135000001	136000000	15
2	136000001	137000000	8
2	137000001	138000000	3
2	138000001	139000000	16
2	139000001	140000000	7
2	140000001	141000000	9
2	141000001	142000000	2
2	142000001	143000000	5
2	143000001	144000000	22
2	144000001	145000000	13
2	145000001	146000000	8
2	146000001	147000000	7
2	147000001	148000000	8
2	148000001	149000000	13
2	149000001	150000000	10
2	150000001	151000000	7
2	151000001	152000000	14
2	152000001	153000000	12
2	153000001	154000000	10
2	154000001	155000000	9
2	155000001	156000000	9
2	156000001	157000000	7
2	157000001	158000000	14
2	158000001	159000000	17
2	159000001	160000000	19
2	160000001	161000000	8
2	161000001	162000000	19
2	162000001	163000000	13
2	163000001	164000000	3
2	164000001	165000000	11
2	165000001	166000000	11
2	166000001	167000000	8
2	167000001	168000000	7
2	168000001	169000000	10
2	169000001	170000000	20
2	170000001	171000000	18
2	171000001	172000000	13
2	172000001	173000000	16
2	173000001	174000000	16
2	174000001	175000000	24
2	175000001	176000000	15
2	176000001	177000000	36
2	177000001	178000000	25
2	178000001	179000000	27
2	179000001	180000000	10
2	180000001	181000000	8
2	181000001	182000000	15
2	182000001	183000000	9
2	183000001	184000000	11
2	184000001	185000000	4
2	185000001	186000000	6
2	186000001	187000000	11
2	187000001	188000000	8
2	188000001	189000000	10
2	189000001	190000000	19
2	190000001	191000000	15
2	191000001	192000000	15
2	192000001	193000000	7
2	193000001	194000000	4
2	194000001	195000000	8
2	195000001	196000000	10
2	196000001	197000000	14
2	197000001	198000000	21
2	198000001	199000000	4
2	199000001	200000000	14
2	200000001	201000000	23
2	201000001	202000000	43
2	202000001	203000000	37
2	203000001	204000000	21
2	204000001	205000000	7
2	205000001	206000000	6
2	206000001	207000000	37
2	207000001	208000000	24
2	208000001	209000000	24
2	209000001	210000000	8
2	210000001	211000000	13
2	211000001	212000000	5
2	212000001	213000000	7
2	213000001	214000000	7
2	214000001	215000000	10
2	215000001	216000000	16
2	216000001	217000000	34
2	217000001	218000000	8
2	218000001	219000000	49
2	219000001	220000000	54
2	220000001	221000000	5
2	221000001	222000000	8
2	222000001	223000000	20
2	223000001	224000000	11
2	224000001	225000000	8
2	225000001	226000000	7
2	226000001	227000000	7
2	227000001	228000000	27
2	228000001	229000000	6
2	229000001	230000000	11
2	230000001	231000000	28
2	231000001	232000000	38
2	232000001	233000000	31
2	233000001	234000000	38
2	234000001	235000000	13
2	235000001	236000000	7
2	236000001	237000000	14
2	237000001	238000000	20
2	238000001	239000000	26
2	239000001	240000000	11
2	240000001	241000000	29
2	241000001	242000000	36
2	242000001	242193529	9
3	1	1000000	10
3	1000001	2000000	8
3	2000001	3000000	4
3	3000001	4000000	10
3	4000001	5000000	10
3	5000001	6000000	11
3	6000001	7000000	8
3	7000001	8000000	3
3	8000001	9000000	13
3	9000001	10000000	33
3	10000001	11000000	27
3	11000001	12000000	19
3	12000001	13000000	23
3	13000001	14000000	12
3	14000001	15000000	24
3	15000001	16000000	27
3	16000001	17000000	15
3	17000001	18000000	10
3	18000001	19000000	7
3	19000001	20000000	6
3	20000001	21000000	9
3	21000001	22000000	5
3	22000001	23000000	6
3	23000001	24000000	13
3	24000001	25000000	9
3	25000001	26000000	17
3	26000001	27000000	5
3	27000001	28000000	17
3	28000001	29000000	6
3	29000001	30000000	7
3	30000001	31000000	9
3	31000001	32000000	9
3	32000001	33000000	26
3	33000001	34000000	19
3	34000001	35000000	4
3	35000001	36000000	6
3	36000001	37000000	14
3	37000001	38000000	22
3	38000001	39000000	25
3	39000001	40000000	25
3	40000001	41000000	20
3	41000001	42000000	11
3	42000001	43000000	35
3	43000001	44000000	16
3	44000001	45000000	32
3	45000001	46000000	22
3	46000001	47000000	33
3	47000001	48000000	25
3	48000001	49000000	50
3	49000001	50000000	58
3	50000001	51000000	44
3	51000001	52000000	29
3	52000001	53000000	52
3	53000001	54000000	20
3	54000001	55000000	5
3	55000001	56000000	12
3	56000001	57000000	6
3	57000001	58000000	25
3	58000001	59000000	21
3	59000001	60000000	7
3	60000001	61000000	6
3	61000001	62000000	3
3	62000001	63000000	11
3	63000001	64000000	13
3	64000001	65000000	19
3	65000001	66000000	7
3	66000001	67000000	10
3	67000001	68000000	6
3	68000001	69000000	7
3	69000001	70000000	14
3	70000001	71000000	7
3	71000001	72000000	12
3	72000001	73000000	22
3	73000001	74000000	14
3	74000001	75000000	4
3	75000001	76000000	33
3	76000001	77000000	1
3	77000001	78000000	4
3	78000001	79000000	8
3	79000001	80000000	3
3	80000001	81000000	5
3	81000001	82000000	10
3	82000001	83000000	3
3	83000001	84000000	1
3	84000001	85000000	3
3	85000001	86000000	2
3	86000001	87000000	10
3	87000001	88000000	12
3	88000001	89000000	9
3	89000001	90000000	5
3	90000001	91000000	4
3	91000001	92000000	2
3	92000001	93000000	0
3	93000001	94000000	5
3	94000001	95000000	8
3	95000001	96000000	3
3	96000001	97000000	9
3	97000001	98000000	9
3	98000001	99000000	39
3	99000001	100000000	9
3	100000001	101000000	17
3	101000001	102000000	27
3	102000001	103000000	3
3	103000001	104000000	5
3	104000001	105000000	2
3	105000001	106000000	2
3	106000001	107000000	14
3	107000001	108000000	12
3	108000001	109000000	17
3	109000001	110000000	21
3	110000001	111000000	5
3	111000001	112000000	12
3	112000001	113000000	25
3	113000001	114000000	29
3	114000001	115000000	17
3	115000001	116000000	7
3	116000001	117000000	10
3	117000001	118000000	7
3	118000001	119000000	2
3	119000001	120000000	26
3	120000001	121000000	26
3	121000001	122000000	15
3	122000001	123000000	21
3	123000001	124000000	15
3	124000001	125000000	15
3	125000001	126000000	35
3	126000001	127000000	25
3	127000001	128000000	20
3	128000001	129000000	31
3	129000001	130000000	38
3	130000001	131000000	24
3	131000001	132000000	15
3	132000001	133000000	14
3	133000001	134000000	20
3	134000001	135000000	18
3	135000001	136000000	4
3	136000001	137000000	20
3	137000001	138000000	8
3	138000001	139000000	22
3	139000001	140000000	24
3	140000001	141000000	10
3	141000001	142000000	22
3	142000001	143000000	22
3	143000001	144000000	15
3	144000001	145000000	3
3	145000001	146000000	5
3	146000001	147000000	15
3	147000001	148000000	7
3	148000001	149000000	17
3	149000001	150000000	33
3	150000001	151000000	23
3	151000001	152000000	23
3	152000001	153000000	9
3	153000001	154000000	12
3	154000001	155000000	15
3	155000001	156000000	21
3	156000001	157000000	16
3	157000001	158000000	17
3	158000001	159000000	22
3	159000001	160000000	9
3	160000001	161000000	20
3	161000001	162000000	12
3	162000001	163000000	2
3	163000001	164000000	5
3	164000001	165000000	4
3	165000001	166000000	6
3	166000001	167000000	14
3	167000001	168000000	13
3	168000001	169000000	10
3	169000001	170000000	25
3	170000001	171000000	24
3	171000001	172000000	12
3	172000001	173000000	18
3	173000001	174000000	4
3	174000001	175000000	5
3	175000001	176000000	13
3	176000001	177000000	8
3	177000001	178000000	17
3	178000001	179000000	8
3	179000001	180000000	26
3	180000001	181000000	22
3	181000001	182000000	17
3	182000001	183000000	16
3	183000001	184000000	24
3	184000001	185000000	42
3	185000001	186000000	17
3	186000001	187000000	39
3	187000001	188000000	18
3	188000001	189000000	10
3	189000001	190000000	6
3	190000001	191000000	15
3	191000001	192000000	8
3	192000001	193000000	9
3	193000001	194000000	15
3	194000001	195000000	32
3	195000001	196000000	38
3	196000001	197000000	45
3	197000001	198000000	26
3	198000001	198295559	11
4	1	1000000	40
4	1000001	2000000	32
4	2000001	3000000	27
4	3000001	4000000	27
4	4000001	5000000	23
4	5000001	6000000	9
4	6000001	7000000	21
4	7000001	8000000	14
4	8000001	9000000	23
4	9000001	10000000	57
4	10000001	11000000	22
4	11000001	12000000	8
4	12000001	13000000	6
4	13000001	14000000	13
4	14000001	15000000	8
4	15000001	16000000	18
4	16000001	17000000	9
4	17000001	18000000	16
4	18000001	19000000	2
4	19000001	20000000	7
4	20000001	21000000	6
4	21000001	22000000	7
4	22000001	23000000	7
4	23000001	24000000	8
4	24000001	25000000	9
4	25000001	26000000	25
4	26000001	27000000	8
4	27000001	28000000	8
4	28000001	29000000	5
4	29000001	30000000	11
4	30000001	31000000	3
4	31000001	32000000	4
4	32000001	33000000	2
4	33000001	34000000	6
4	34000001	35000000	5
4	35000001	36000000	2
4	36000001	37000000	8
4	37000001	38000000	14
4	38000001	39000000	17
4	39000001	40000000	29
4	40000001	41000000	21
4	41000001	42000000	21
4	42000001	43000000	12
4	43000001	44000000	11
4	44000001	45000000	11
4	45000001	46000000	5
4	46000001	47000000	8
4	47000001	48000000	13
4	48000001	49000000	17
4	49000001	50000000	21
4	50000001	51000000	0
4	51000001	52000000	4
4	52000001	53000000	19
4	53000001	54000000	12
4	54000001	55000000	17
4	55000001	56000000	24
4	56000001	57000000	28
4	57000001	58000000	12
4	58000001	59000000	6
4	59000001	60000000	8
4	60000001	61000000	4
4	61000001	62000000	5
4	62000001	63000000	8
4	63000001	64000000	3
4	64000001	65000000	11
4	65000001	66000000	11
4	66000001	67000000	6
4	67000001	68000000	17
4	68000001	69000000	39
4	69000001	70000000	34
4	70000001	71000000	25
4	71000001	72000000	8
4	72000001	73000000	5
4	73000001	74000000	25
4	74000001	75000000	15
4	75000001	76000000	22
4	76000001	77000000	27
4	77000001	78000000	18
4	78000001	79000000	15
4	79000001	80000000	9
4	80000001	81000000	8
4	81000001	82000000	7
4	82000001	83000000	27
4	83000001	84000000	19
4	84000001	85000000	11
4	85000001	86000000	4
4	86000001	87000000	14
4	87000001	88000000	23
4	88000001	89000000	27
4	89000001	90000000	12
4	90000001	91000000	3
4	91000001	92000000	6
4	92000001	93000000	8
4	93000001	94000000	4
4	94000001	95000000	8
4	95000001	96000000	6
4	96000001	97000000	5
4	97000001	98000000	4
4	98000001	99000000	18
4	99000001	100000000	25
4	100000001	101000000	8
4	101000001	102000000	6
4	102000001	103000000	20
4	103000001	104000000	10
4	104000001	105000000	9
4	105000001	106000000	20
4	106000001	107000000	7
4	107000001	108000000	10
4	108000001	109000000	13
4	109000001	110000000	22
4	110000001	111000000	18
4	111000001	112000000	6
4	112000001	113000000	35
4	113000001	114000000	12
4	114000001	115000000	5
4	115000001	116000000	5
4	116000001	117000000	11
4	117000001	118000000	8
4	118000001	119000000	15
4	119000001	120000000	22
4	120000001	121000000	9
4	121000001	122000000	18
4	122000001	123000000	14
4	123000001	124000000	9
4	124000001	125000000	6
4	125000001	126000000	6
4	126000001	127000000	3
4	127000001	128000000	14
4	128000001	129000000	12
4	129000001	130000000	10
4	130000001	131000000	5
4	131000001	132000000	10
4	132000001	133000000	8
4	133000001	134000000	4
4	134000001	135000000	9
4	135000001	136000000	9
4	136000001	137000000	6
4	137000001	138000000	11
4	138000001	139000000	12
4	139000001	140000000	27
4	140000001	141000000	19
4	141000001	142000000	8
4	142000001	143000000	5
4	143000001	144000000	18
4	144000001	145000000	12
4	145000001	146000000	22
4	146000001	147000000	15
4	147000001	148000000	16
4	148000001	149000000	10
4	149000001	150000000	9
4	150000001	151000000	7
4	151000001	152000000	25
4	152000001	153000000	20
4	153000001	154000000	14
4	154000001	155000000	19
4	155000001	156000000	26
4	156000001	157000000	11
4	157000001	158000000	12
4	158000001	159000000	19
4	159000001	160000000	10
4	160000001	161000000	3
4	161000001	162000000	1
4	162000001	163000000	6
4	163000001	164000000	12
4	164000001	165000000	21
4	165000001	166000000	20
4	166000001	167000000	5
4	167000001	168000000	6
4	168000001	169000000	13
4	169000001	170000000	14
4	170000001	171000000	11
4	171000001	172000000	7
4	172000001	173000000	1
4	173000001	174000000	20
4	174000001	175000000	14
4	175000001	176000000	8
4	176000001	177000000	13
4	177000001	178000000	11
4	178000001	179000000	4
4	179000001	180000000	3
4	180000001	181000000	2
4	181000001	182000000	7
4	182000001	183000000	10
4	183000001	184000000	23
4	184000001	185000000	28
4	185000001	186000000	22
4	186000001	187000000	19
4	187000001	188000000	12
4	188000001	189000000	18
4	189000001	190000000	13
4	190000001	190214555	20
5	1	1000000	35
5	1000001	2000000	35
5	2000001	3000000	9
5	3000001	4000000	6
5	4000001	5000000	12
5	5000001	6000000	13
5	6000001	7000000	18
5	7000001	8000000	19
5	8000001	9000000	25
5	9000001	10000000	14
5	10000001	11000000	40
5	11000001	12000000	2
5	12000001	13000000	5
5	13000001	14000000	7
5	14000001	15000000	14
5	15000001	16000000	8
5	16000001	17000000	16
5	17000001	18000000	46
5	18000001	19000000	8
5	19000001	20000000	4
5	20000001	21000000	7
5	21000001	22000000	8
5	22000001	23000000	4
5	23000001	24000000	11
5	24000001	25000000	13
5	25000001	26000000	11
5	26000001	27000000	7
5	27000001	28000000	4
5	28000001	29000000	9
5	29000001	30000000	13
5	30000001	31000000	2
5	31000001	32000000	25
5	32000001	33000000	17
5	33000001	34000000	16
5	34000001	35000000	19
5	35000001	36000000	12
5	36000001	37000000	19
5	37000001	38000000	20
5	38000001	39000000	18
5	39000001	40000000	10
5	40000001	41000000	18
5	41000001	42000000	12
5	42000001	43000000	13
5	43000001	44000000	30
5	44000001	45000000	10
5	45000001	46000000	5
5	46000001	47000000	0
5	47000001	48000000	0
5	48000001	49000000	0
5	49000001	50000000	0
5	50000001	51000000	11
5	51000001	52000000	12
5	52000001	53000000	9
5	53000001	54000000	14
5	54000001	55000000	13
5	55000001	56000000	33
5	56000001	57000000	26
5	57000001	58000000	12
5	58000001	59000000	11
5	59000001	60000000	4
5	60000001	61000000	17
5	61000001	62000000	16
5	62000001	63000000	10
5	63000001	64000000	4
5	64000001	65000000	8
5	65000001	66000000	20
5	66000001	67000000	9
5	67000001	68000000	14
5	68000001	69000000	14
5	69000001	70000000	33
5	70000001	71000000	17
5	71000001	72000000	17
5	72000001	73000000	22
5	73000001	74000000	23
5	74000001	75000000	20
5	75000001	76000000	23
5	76000001	77000000	24
5	77000001	78000000	17
5	78000001	79000000	13
5	79000001	80000000	21
5	80000001	81000000	31
5	81000001	82000000	11
5	82000001	83000000	17
5	83000001	84000000	16
5	84000001	85000000	3
5	85000001	86000000	14
5	86000001	87000000	13
5	87000001	88000000	12
5	88000001	89000000	15
5	89000001	90000000	5
5	90000001	91000000	9
5	91000001	92000000	16
5	92000001	93000000	9
5	93000001	94000000	10
5	94000001	95000000	12
5	95000001	96000000	21
5	96000001	97000000	16
5	97000001	98000000	15
5	98000001	99000000	20
5	99000001	100000000	8
5	100000001	101000000	22
5	101000001	102000000	3
5	102000001	103000000	9
5	103000001	104000000	11
5	104000001	105000000	6
5	105000001	106000000	4
5	106000001	107000000	3
5	107000001	108000000	7
5	108000001	109000000	7
5	109000001	110000000	16
5	110000001	111000000	7
5	111000001	112000000	16
5	112000001	113000000	20
5	113000001	114000000	6
5	114000001	115000000	4
5	115000001	116000000	28
5	116000001	117000000	16
5	117000001	118000000	7
5	118000001	119000000	10
5	119000001	120000000	18
5	120000001	121000000	7
5	121000001	122000000	9
5	122000001	123000000	15
5	123000001	124000000	14
5	124000001	125000000	13
5	125000001	126000000	8
5	126000001	127000000	15
5	127000001	128000000	19
5	128000001	129000000	6
5	129000001	130000000	9
5	130000001	131000000	8
5	131000001	132000000	13
5	132000001	133000000	47
5	133000001	134000000	17
5	134000001	135000000	43
5	135000001	136000000	27
5	136000001	137000000	20
5	137000001	138000000	9
5	138000001	139000000	30
5	139000001	140000000	40
5	140000001	141000000	49
5	141000001	142000000	93
5	142000001	143000000	14
5	143000001	144000000	13
5	144000001	145000000	8
5	145000001	146000000	9
5	146000001	147000000	21
5	147000001	148000000	14
5	148000001	149000000	18
5	149000001	150000000	32
5	150000001	151000000	29
5	151000001	152000000	31
5	152000001	153000000	3
5	153000001	154000000	5
5	154000001	155000000	25
5	155000001	156000000	5
5	156000001	157000000	7
5	157000001	158000000	31
5	158000001	159000000	13
5	159000001	160000000	16
5	160000001	161000000	21
5	161000001	162000000	5
5	162000001	163000000	4
5	163000001	164000000	13
5	164000001	165000000	5
5	165000001	166000000	7
5	166000001	167000000	4
5	167000001	168000000	9
5	168000001	169000000	18
5	169000001	170000000	8
5	170000001	171000000	18
5	171000001	172000000	15
5	172000001	173000000	26
5	173000001	174000000	25
5	174000001	175000000	20
5	175000001	176000000	11
5	176000001	177000000	38
5	177000001	178000000	43
5	178000001	179000000	33
5	179000001	180000000	37
5	180000001	181000000	32
5	181000001	181538259	32
6	1	1000000	19
6	1000001	2000000	12
6	2000001	3000000	19
6	3000001	4000000	32
6	4000001	5000000	23
6	5000001	6000000	17
6	6000001	7000000	17
6	7000001	8000000	22
6	8000001	9000000	9
6	9000001	10000000	2
6	10000001	11000000	33
6	11000001	12000000	20
6	12000001	13000000	7
6	13000001	14000000	17
6	14000001	15000000	10
6	15000001	16000000	12
6	16000001	17000000	14
6	17000001	18000000	14
6	18000001	19000000	12
6	19000001	20000000	9
6	20000001	21000000	11
6	21000001	22000000	8
6	22000001	23000000	8
6	23000001	24000000	8
6	24000001	25000000	23
6	25000001	26000000	31
6	26000001	27000000	66
6	27000001	28000000	58
6	28000001	29000000	54
6	29000001	30000000	83
6	30000001	31000000	72
6	31000001	32000000	112
6	32000001	33000000	63
6	33000001	34000000	58
6	34000001	35000000	27
6	35000001	36000000	31
6	36000001	37000000	32
6	37000001	38000000	20
6	38000001	39000000	14
6	39000001	40000000	17
6	40000001	41000000	10
6	41000001	42000000	43
6	42000001	43000000	26
6	43000001	44000000	48
6	44000001	45000000	24
6	45000001	46000000	8
6	46000001	47000000	19
6	47000001	48000000	14
6	48000001	49000000	5
6	49000001	50000000	21
6	50000001	51000000	10
6	51000001	52000000	6
6	52000001	53000000	30
6	53000001	54000000	29
6	54000001	55000000	14
6	55000001	56000000	6
6	56000001	57000000	9
6	57000001	58000000	19
6	58000001	59000000	4
6	59000001	60000000	0
6	60000001	61000000	5
6	61000001	62000000	3
6	62000001	63000000	4
6	63000001	64000000	19
6	64000001	65000000	3
6	65000001	66000000	4
6	66000001	67000000	3
6	67000001	68000000	7
6	68000001	69000000	5
6	69000001	70000000	4
6	70000001	71000000	16
6	71000001	72000000	19
6	72000001	73000000	8
6	73000001	74000000	33
6	74000001	75000000	7
6	75000001	76000000	24
6	76000001	77000000	8
6	77000001	78000000	4
6	78000001	79000000	3
6	79000001	80000000	23
6	80000001	81000000	12
6	81000001	82000000	10
6	82000001	83000000	6
6	83000001	84000000	11
6	84000001	85000000	10
6	85000001	86000000	21
6	86000001	87000000	10
6	87000001	88000000	28
6	88000001	89000000	9
6	89000001	90000000	29
6	90000001	91000000	6
6	91000001	92000000	8
6	92000001	93000000	7
6	93000001	94000000	6
6	94000001	95000000	5
6	95000001	96000000	5
6	96000001	97000000	14
6	97000001	98000000	3
6	98000001	99000000	8
6	99000001	100000000	17
6	100000001	101000000	11
