id	biological_process	cellular_component	molecular_function
gene_56	GO:0006241(CTP biosynthetic process);GO:0006183(GTP biosynthetic process);GO:0006228(UTP biosynthetic process)	NA	GO:0005524(ATP binding);GO:0004550(nucleoside diphosphate kinase activity)
gene_57	GO:0030150(protein import into mitochondrial matrix)	GO:0005744(TIM23 mitochondrial import inner membrane translocase complex)	NA
gene_58	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_59	NA	NA	NA
gene_60	NA	NA	NA
gene_61	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_62	NA	NA	NA
gene_63	NA	NA	NA
gene_64	NA	NA	NA
gene_65	NA	NA	NA
gene_66	NA	NA	NA
gene_67	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0047624(adenosine-tetraphosphatase activity);GO:0015078(proton transmembrane transporter activity);GO:0016887(ATPase activity)
gene_68	GO:0071236(cellular response to antibiotic);GO:0071493(cellular response to UV-B);GO:0008630(intrinsic apoptotic signaling pathway in response to DNA damage);GO:0010043(response to zinc ion)	GO:0005737(cytoplasm)	GO:0046872(metal ion binding);GO:0003680(AT DNA binding);GO:0008301(DNA binding, bending);GO:0042277(peptide binding);GO:0008270(zinc ion binding)
gene_69	NA	NA	NA
gene_70	NA	NA	NA
gene_71	NA	NA	NA
gene_72	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0003735(structural constituent of ribosome)
gene_73	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_74	NA	NA	NA
gene_75	NA	NA	GO:0008146(sulfotransferase activity)
gene_76	NA	NA	NA
gene_77	NA	NA	NA
gene_78	NA	NA	NA
gene_79	NA	NA	NA
gene_80	NA	NA	NA
gene_81	NA	NA	NA
gene_82	NA	NA	NA
gene_83	NA	NA	NA
gene_84	GO:0006956(complement activation)	GO:0005579(membrane attack complex)	NA
gene_85	NA	NA	NA
gene_86	NA	NA	NA
gene_87	NA	NA	NA
gene_88	GO:0009058(biosynthetic process)	NA	GO:0003824(catalytic activity)
gene_89	GO:0006096(glycolytic process)	GO:0000015(phosphopyruvate hydratase complex)	GO:0000287(magnesium ion binding);GO:0004634(phosphopyruvate hydratase activity)
gene_90	NA	NA	NA
gene_91	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_92	GO:0006508(proteolysis)	GO:0005576(extracellular region)	NA
gene_93	NA	NA	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)
gene_94	NA	NA	NA
gene_95	GO:0006457(protein folding)	NA	GO:0051082(unfolded protein binding)
gene_96	NA	NA	NA
gene_97	NA	NA	NA
gene_98	NA	NA	GO:0003723(RNA binding)
gene_99	NA	NA	NA
gene_100	GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_101	NA	NA	NA
gene_102	NA	NA	NA
gene_103	NA	NA	NA
gene_104	NA	NA	NA
gene_105	GO:0019264(glycine biosynthetic process from serine);GO:0032259(methylation);GO:0035999(tetrahydrofolate interconversion)	NA	GO:0004372(glycine hydroxymethyltransferase activity);GO:0008168(methyltransferase activity);GO:0030170(pyridoxal phosphate binding)
gene_106	NA	NA	NA
gene_107	GO:0006879(cellular iron ion homeostasis);GO:0006826(iron ion transport)	GO:0005623(cell)	GO:0008199(ferric iron binding)
gene_108	GO:0019722(calcium-mediated signaling)	NA	GO:0005509(calcium ion binding)
gene_109	NA	NA	NA
gene_110	NA	NA	NA
gene_111	NA	NA	NA
gene_112	GO:0009116(nucleoside metabolic process);GO:0009166(nucleotide catabolic process);GO:0044206(UMP salvage)	GO:0005737(cytoplasm)	GO:0004850(uridine phosphorylase activity)
gene_113	GO:0032981(mitochondrial respiratory chain complex I assembly)	NA	NA
gene_114	NA	NA	GO:0032052(bile acid binding);GO:0008289(lipid binding)
gene_115	NA	NA	NA
gene_116	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0019843(rRNA binding);GO:0003735(structural constituent of ribosome)
gene_117	NA	NA	NA
gene_118	NA	NA	NA
gene_119	NA	NA	NA
gene_120	NA	NA	NA
gene_121	NA	NA	NA
gene_122	NA	NA	GO:0005319(lipid transporter activity)
gene_123	GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_124	NA	NA	GO:0030246(carbohydrate binding)
gene_125	NA	NA	NA
gene_126	GO:0032543(mitochondrial translation)	GO:0005762(mitochondrial large ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_127	NA	NA	NA
gene_128	NA	NA	GO:0003723(RNA binding)
gene_129	GO:0015721(bile acid and bile salt transport)	GO:0016021(integral component of membrane);GO:0005886(plasma membrane)	GO:0046982(protein heterodimerization activity);GO:0022857(transmembrane transporter activity)
gene_130	NA	NA	NA
gene_131	NA	NA	NA
gene_132	GO:0006487(protein N-linked glycosylation)	GO:0016021(integral component of membrane);GO:0008250(oligosaccharyltransferase complex)	NA
gene_133	NA	NA	NA
gene_134	NA	NA	NA
gene_135	GO:0001568(blood vessel development);GO:0050900(leukocyte migration);GO:0006457(protein folding)	NA	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_136	NA	NA	NA
gene_137	NA	NA	NA
gene_138	NA	NA	NA
gene_139	NA	NA	GO:0005525(GTP binding)
gene_140	NA	NA	NA
gene_141	GO:0015889(cobalamin transport)	NA	GO:0031419(cobalamin binding)
gene_142	GO:0070121(Kupffer's vesicle development);GO:0006457(protein folding)	GO:0005737(cytoplasm)	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_143	NA	NA	NA
gene_144	NA	NA	NA
gene_145	NA	GO:0016021(integral component of membrane)	GO:0030246(carbohydrate binding)
gene_146	NA	NA	NA
gene_147	NA	GO:0016021(integral component of membrane)	NA
gene_148	NA	NA	NA
gene_149	NA	NA	NA
gene_150	NA	NA	NA
gene_151	NA	GO:0016021(integral component of membrane);GO:0005746(mitochondrial respirasome)	GO:0004129(cytochrome-c oxidase activity)
gene_152	NA	NA	NA
gene_153	NA	NA	NA
gene_154	GO:0000256(allantoin catabolic process)	NA	GO:0004037(allantoicase activity)
gene_155	NA	GO:0005833(hemoglobin complex)	GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0019825(oxygen binding);GO:0005344(oxygen carrier activity)
gene_156	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_157	NA	NA	NA
gene_158	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_159	GO:0007602(phototransduction);GO:0007601(visual perception)	GO:0016021(integral component of membrane)	GO:0004930(G protein-coupled receptor activity)
gene_160	NA	NA	NA
gene_161	GO:0006397(mRNA processing);GO:0008380(RNA splicing)	GO:0005681(spliceosomal complex)	GO:0003723(RNA binding)
gene_162	GO:0043409(negative regulation of MAPK cascade)	NA	NA
gene_163	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_164	NA	GO:0030014(CCR4-NOT complex)	NA
gene_165	NA	GO:0005737(cytoplasm)	GO:0004177(aminopeptidase activity);GO:0030145(manganese ion binding);GO:0008235(metalloexopeptidase activity)
gene_166	NA	NA	GO:0036094(small molecule binding)
gene_167	NA	NA	NA
gene_168	GO:0001666(response to hypoxia)	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_169	GO:0006953(acute-phase response);GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_170	NA	GO:0016021(integral component of membrane)	GO:0004869(cysteine-type endopeptidase inhibitor activity)
gene_171	NA	NA	NA
gene_172	NA	NA	NA
gene_173	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0005524(ATP binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)
gene_174	NA	NA	NA
gene_175	NA	NA	NA
gene_176	NA	NA	NA
gene_177	NA	NA	NA
gene_178	NA	NA	NA
gene_179	NA	NA	NA
gene_180	NA	NA	NA
gene_181	NA	NA	NA
gene_182	NA	NA	NA
gene_183	GO:0006879(cellular iron ion homeostasis);GO:0006826(iron ion transport)	GO:0005623(cell);GO:0005615(extracellular space);GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005507(copper ion binding);GO:0004322(ferroxidase activity)
gene_184	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_185	NA	NA	NA
gene_186	NA	NA	NA
gene_187	NA	NA	NA
gene_188	NA	NA	NA
gene_189	GO:0006629(lipid metabolic process)	NA	GO:0016788(hydrolase activity, acting on ester bonds)
gene_190	GO:0006956(complement activation)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_191	NA	NA	NA
gene_192	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_193	NA	NA	NA
gene_194	NA	NA	NA
gene_195	NA	NA	NA
gene_196	NA	NA	NA
gene_197	NA	NA	NA
gene_198	NA	NA	NA
gene_199	NA	NA	NA
gene_200	NA	NA	GO:0016153(urocanate hydratase activity)
gene_201	NA	NA	NA
gene_202	NA	NA	NA
gene_203	GO:0006953(acute-phase response);GO:1990266(neutrophil migration);GO:0009617(response to bacterium)	GO:0034364(high-density lipoprotein particle)	NA
gene_204	NA	NA	NA
gene_205	NA	NA	NA
gene_206	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)
gene_207	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_208	NA	NA	NA
gene_209	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_210	NA	NA	NA
gene_211	NA	NA	GO:0004181(metallocarboxypeptidase activity);GO:0008270(zinc ion binding)
gene_212	NA	NA	GO:0008234(cysteine-type peptidase activity)
gene_213	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_214	NA	NA	NA
gene_215	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_216	GO:0072378(blood coagulation, fibrin clot formation);GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)
gene_217	NA	GO:0016021(integral component of membrane)	NA
gene_218	NA	GO:0016021(integral component of membrane)	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
gene_219	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0016021(integral component of membrane)	NA
gene_220	GO:0003081(regulation of systemic arterial blood pressure by renin-angiotensin)	GO:0005615(extracellular space)	NA
gene_221	NA	NA	NA
gene_222	GO:0030212(hyaluronan metabolic process)	NA	GO:0004867(serine-type endopeptidase inhibitor activity)
gene_223	NA	GO:0016021(integral component of membrane)	NA
gene_224	NA	NA	NA
gene_225	NA	NA	NA
gene_226	NA	NA	NA
gene_227	NA	NA	NA
gene_228	NA	NA	NA
gene_229	NA	GO:0016021(integral component of membrane)	NA
gene_230	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_231	NA	NA	NA
gene_232	NA	NA	NA
gene_233	NA	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity);GO:0005509(calcium ion binding)
gene_234	NA	NA	NA
gene_235	NA	NA	NA
gene_236	GO:0045454(cell redox homeostasis)	GO:0005623(cell);GO:0005788(endoplasmic reticulum lumen)	GO:0003756(protein disulfide isomerase activity)
gene_237	NA	NA	NA
gene_238	NA	NA	NA
gene_239	NA	NA	NA
gene_240	GO:0009058(biosynthetic process);GO:0006520(cellular amino acid metabolic process)	NA	GO:0004069(L-aspartate:2-oxoglutarate aminotransferase activity);GO:0030170(pyridoxal phosphate binding)
gene_241	GO:0007160(cell-matrix adhesion)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding)
gene_242	GO:0055114(oxidation-reduction process)	NA	NA
gene_243	NA	NA	NA
gene_244	GO:0009072(aromatic amino acid family metabolic process)	GO:0005737(cytoplasm)	GO:0003824(catalytic activity)
gene_245	NA	NA	NA
gene_246	GO:0043009(chordate embryonic development);GO:0032780(negative regulation of ATPase activity)	GO:0005739(mitochondrion)	GO:0042030(ATPase inhibitor activity)
gene_247	NA	NA	NA
gene_248	NA	NA	NA
gene_249	GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region);GO:0016021(integral component of membrane)	NA
gene_250	NA	NA	NA
gene_251	NA	GO:0016021(integral component of membrane)	NA
gene_252	NA	NA	NA
gene_253	NA	GO:0005833(hemoglobin complex)	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0019825(oxygen binding);GO:0005344(oxygen carrier activity)
gene_254	NA	NA	NA
gene_255	NA	NA	NA
gene_256	GO:0060059(embryonic retina morphogenesis in camera-type eye);GO:0007634(optokinetic behavior);GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_257	NA	NA	NA
gene_258	NA	NA	NA
gene_259	GO:0009060(aerobic respiration);GO:0006119(oxidative phosphorylation)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0045277(respiratory chain complex IV)	GO:0004129(cytochrome-c oxidase activity);GO:0020037(heme binding);GO:0046872(metal ion binding)
gene_260	NA	GO:0005833(hemoglobin complex)	GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0019825(oxygen binding);GO:0005344(oxygen carrier activity)
gene_261	NA	NA	NA
gene_262	NA	NA	NA
gene_263	NA	NA	NA
gene_264	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_265	NA	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0003700(DNA-binding transcription factor activity)
gene_266	GO:0005975(carbohydrate metabolic process);GO:0006108(malate metabolic process);GO:0006099(tricarboxylic acid cycle)	NA	GO:0030060(L-malate dehydrogenase activity)
gene_267	NA	NA	NA
gene_268	GO:0030218(erythrocyte differentiation);GO:0006414(translational elongation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_269	NA	NA	NA
gene_270	NA	NA	GO:0003824(catalytic activity)
gene_271	NA	NA	NA
gene_272	NA	NA	NA
gene_273	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_274	GO:0007420(brain development);GO:0001732(formation of cytoplasmic translation initiation complex);GO:0048882(lateral line development);GO:0001944(vasculature development)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)
gene_275	GO:0031016(pancreas development);GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_276	GO:1902626(assembly of large subunit precursor of preribosome);GO:0000027(ribosomal large subunit assembly);GO:0006412(translation)	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_277	NA	NA	NA
gene_278	GO:0043009(chordate embryonic development);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_279	NA	NA	NA
gene_280	GO:0002244(hematopoietic progenitor cell differentiation);GO:0060841(venous blood vessel development)	NA	GO:0004301(epoxide hydrolase activity)
gene_281	NA	NA	NA
gene_282	NA	NA	NA
gene_283	NA	NA	GO:0005509(calcium ion binding)
gene_284	NA	NA	NA
gene_285	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_286	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_287	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_288	NA	NA	NA
gene_289	GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region);GO:0016021(integral component of membrane)	NA
gene_290	NA	NA	NA
gene_291	NA	NA	NA
gene_292	NA	NA	NA
gene_293	GO:0071391(cellular response to estrogen stimulus)	NA	GO:0008453(alanine-glyoxylate transaminase activity);GO:0004760(serine-pyruvate transaminase activity)
gene_294	NA	NA	NA
gene_295	NA	NA	NA
gene_296	GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_297	NA	NA	NA
gene_298	NA	NA	GO:0005524(ATP binding)
gene_299	NA	GO:0016021(integral component of membrane)	NA
gene_300	NA	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0009055(electron transfer activity);GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_301	GO:0006465(signal peptide processing)	GO:0016021(integral component of membrane);GO:0005787(signal peptidase complex)	GO:0008233(peptidase activity)
gene_302	GO:0001906(cell killing);GO:0006957(complement activation, alternative pathway);GO:0006958(complement activation, classical pathway);GO:0019835(cytolysis);GO:0051260(protein homooligomerization);GO:0071391(cellular response to estrogen stimulus);GO:0006955(immune response)	GO:0005615(extracellular space);GO:0005579(membrane attack complex);GO:0044218(other organism cell membrane);GO:0005886(plasma membrane)	NA
gene_303	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_304	NA	NA	GO:0019904(protein domain specific binding)
gene_305	NA	NA	NA
gene_306	NA	GO:0005747(mitochondrial respiratory chain complex I)	NA
gene_307	NA	NA	NA
gene_308	NA	NA	NA
gene_309	NA	NA	NA
gene_310	NA	NA	GO:0005509(calcium ion binding)
gene_311	NA	NA	NA
gene_312	GO:0042572(retinol metabolic process);GO:0070327(thyroid hormone transport)	GO:0005576(extracellular region)	GO:0070324(thyroid hormone binding)
gene_313	GO:0045916(negative regulation of complement activation);GO:0030193(regulation of blood coagulation)	GO:0005615(extracellular space)	GO:0004867(serine-type endopeptidase inhibitor activity)
gene_314	NA	NA	NA
gene_315	NA	GO:0016021(integral component of membrane)	NA
gene_316	NA	NA	NA
gene_317	NA	GO:0005615(extracellular space)	NA
gene_318	NA	GO:0005634(nucleus)	NA
gene_319	NA	NA	NA
gene_320	NA	NA	GO:0003723(RNA binding)
gene_321	NA	NA	NA
gene_322	NA	NA	NA
gene_323	NA	NA	NA
gene_324	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_325	NA	NA	NA
gene_326	GO:0007264(small GTPase mediated signal transduction)	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity)
gene_327	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)
gene_328	GO:0008654(phospholipid biosynthetic process)	GO:0016021(integral component of membrane)	GO:0016780(phosphotransferase activity, for other substituted phosphate groups)
gene_329	NA	NA	NA
gene_330	NA	NA	NA
gene_331	GO:0019646(aerobic electron transport chain)	GO:0016021(integral component of membrane);GO:0005739(mitochondrion)	GO:0004129(cytochrome-c oxidase activity)
gene_332	NA	NA	NA
gene_333	NA	NA	NA
gene_334	NA	NA	NA
gene_335	GO:0007368(determination of left/right symmetry);GO:0008543(fibroblast growth factor receptor signaling pathway);GO:0070121(Kupffer's vesicle development);GO:0030917(midbrain-hindbrain boundary development);GO:0040036(regulation of fibroblast growth factor receptor signaling pathway)	GO:0005783(endoplasmic reticulum)	NA
gene_336	NA	NA	NA
gene_337	NA	NA	NA
gene_338	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0022857(transmembrane transporter activity);GO:0005471(ATP:ADP antiporter activity)
gene_339	NA	NA	NA
gene_340	GO:0071230(cellular response to amino acid stimulus);GO:0032008(positive regulation of TOR signaling)	GO:0071986(Ragulator complex)	NA
gene_341	NA	NA	NA
gene_342	NA	NA	NA
gene_343	NA	NA	NA
gene_344	NA	NA	NA
gene_345	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_346	NA	NA	NA
gene_347	NA	NA	NA
gene_348	GO:0060070(canonical Wnt signaling pathway);GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0008013(beta-catenin binding);GO:0003677(DNA binding)
gene_349	NA	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_350	NA	NA	NA
gene_351	NA	NA	NA
gene_352	NA	NA	NA
gene_353	GO:0072378(blood coagulation, fibrin clot formation);GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)
gene_354	GO:0030218(erythrocyte differentiation);GO:0030490(maturation of SSU-rRNA);GO:0000462(maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0000028(ribosomal small subunit assembly);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0005730(nucleolus);GO:0014069(postsynaptic density)	GO:0048027(mRNA 5'-UTR binding);GO:0003723(RNA binding);GO:0070181(small ribosomal subunit rRNA binding);GO:0003735(structural constituent of ribosome);GO:0045182(translation regulator activity)
gene_355	NA	GO:0016021(integral component of membrane)	NA
gene_356	GO:0000387(spliceosomal snRNP assembly)	GO:0005681(spliceosomal complex)	GO:0003723(RNA binding)
gene_357	NA	NA	NA
gene_358	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_359	NA	NA	NA
gene_360	NA	GO:0005615(extracellular space)	GO:0004869(cysteine-type endopeptidase inhibitor activity)
gene_361	NA	NA	NA
gene_362	NA	NA	GO:0008170(N-methyltransferase activity)
gene_363	NA	GO:0005615(extracellular space)	NA
gene_364	NA	NA	NA
gene_365	NA	NA	NA
gene_366	GO:0006956(complement activation)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_367	NA	NA	NA
gene_368	NA	NA	NA
gene_369	NA	NA	NA
gene_370	GO:0006457(protein folding);GO:0043627(response to estrogen)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_371	NA	NA	NA
gene_372	NA	NA	NA
gene_373	NA	NA	NA
gene_374	NA	NA	NA
gene_375	NA	NA	NA
gene_376	NA	NA	NA
gene_377	NA	NA	NA
gene_378	GO:0006412(translation)	GO:0005840(ribosome)	GO:0046872(metal ion binding);GO:0003735(structural constituent of ribosome)
gene_379	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0005747(mitochondrial respiratory chain complex I)	NA
gene_380	NA	NA	NA
gene_381	GO:0031101(fin regeneration);GO:0030097(hemopoiesis);GO:0006457(protein folding)	NA	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_382	NA	NA	NA
gene_383	GO:0060216(definitive hemopoiesis);GO:0060215(primitive hemopoiesis);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_384	GO:0006457(protein folding)	GO:0016272(prefoldin complex)	GO:0051082(unfolded protein binding)
gene_385	GO:0007186(G protein-coupled receptor signaling pathway)	GO:0005834(heterotrimeric G-protein complex)	GO:0003924(GTPase activity)
gene_386	NA	NA	NA
gene_387	NA	NA	NA
